date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,vol_ma5,vol_ma10,vol_ma20,turnover_rate
2020-08-28,1731.0,1764.0,1757.0,1721.5,42299.62,26.0,1.5,1727.67,1706.035,1676.738,32791.36,31233.14,30845.78,0.34
2020-08-27,1731.99,1733.98,1731.0,1705.0,22635.53,4.0,0.23,1711.47,1696.435,1672.797,29347.92,30768.49,30765.04,0.18
2020-08-26,1734.0,1745.0,1727.0,1715.02,26215.73,0.0,0.0,1698.07,1686.835,1670.247,29297.28,30559.07,31551.92,0.21
2020-08-25,1704.8,1746.78,1727.0,1698.63,41872.49,30.65,1.81,1690.07,1676.83,1667.497,29437.13,30730.89,32778.55,0.33
2020-08-24,1700.0,1708.0,1696.35,1691.01,30933.44,20.35,1.21,1685.67,1668.381,1664.647,27147.19,30125.46,33430.5,0.25
2020-08-21,1673.0,1698.0,1676.0,1671.0,25082.41,12.0,0.72,1684.4,1662.145,1660.957,29674.91,29394.47,33823.24,0.2
2020-08-20,1674.0,1679.0,1664.0,1656.0,22382.33,-23.0,-1.36,1681.4,1657.645,1656.922,32189.06,30310.43,36506.72,0.18
2020-08-19,1700.0,1717.0,1687.0,1682.99,26914.98,-18.0,-1.06,1675.6,1655.041,1657.522,31820.86,31337.08,37103.63,0.21
2020-08-18,1697.38,1720.0,1705.0,1691.0,30422.81,15.0,0.89,1663.59,1653.141,1657.076,32024.65,31197.75,37717.94,0.24
2020-08-17,1674.0,1704.35,1690.0,1670.0,43572.01,29.0,1.75,1651.092,1649.64,1655.226,33103.73,31349.52,38295.27,0.35
2020-08-14,1639.9,1665.7,1661.0,1631.0,37653.18,26.0,1.59,1639.89,1647.44,1652.574,29114.03,30458.43,38380.69,0.3
2020-08-13,1630.0,1638.88,1635.0,1609.0,20541.34,8.05,0.49,1633.89,1649.158,1651.926,28431.81,30761.59,39793.13,0.16
2020-08-12,1633.0,1641.0,1626.95,1605.25,27933.92,-15.56,-0.95,1634.482,1653.658,1650.876,30853.29,32544.76,43878.18,0.22
2020-08-11,1640.0,1666.43,1642.51,1640.0,35818.18,8.52,0.52,1642.692,1658.163,1657.155,30370.85,34826.21,44517.13,0.29
2020-08-10,1627.97,1644.96,1633.99,1608.11,23623.54,2.99,0.18,1648.188,1660.912,1663.13,29595.31,36735.54,45030.89,0.19
2020-08-07,1644.77,1649.67,1631.0,1598.5,34242.05,-6.96,-0.42,1654.99,1659.768,1670.53,31802.83,38252.01,46886.08,0.27
2020-08-06,1670.0,1674.03,1637.96,1630.0,32648.78,-30.04,-1.8,1664.426,1656.198,1674.672,33091.37,42703.0,47028.99,0.26
2020-08-05,1662.09,1673.09,1668.0,1643.31,25521.69,-1.99,-0.12,1672.834,1660.002,1678.074,34236.22,42870.18,47148.22,0.2
2020-08-04,1675.0,1682.99,1669.99,1660.0,31940.51,1.99,0.12,1673.634,1661.01,1678.741,39281.57,44238.13,48530.63,0.25
