datetime,code,open,close,high,low,vol,amount,p_change
2015-03-30,600519,194.68,196.77,198.95,193.1,63451.0,1237889280.0,1.14
2015-03-31,600519,196.68,195.96,200.77,194.02,88130.0,1746870272.0,-0.41
2015-04-01,600519,196.03,195.34,197.56,194.48,76875.0,1504959744.0,-0.32
2015-04-02,600519,195.96,194.58,197.6,192.88,62981.0,1228604416.0,-0.39
2015-04-03,600519,194.0,196.81,197.01,192.78,51210.0,996536064.0,1.15
2015-04-07,600519,196.85,200.67,201.08,195.8,59824.0,1189027072.0,1.96
2015-04-08,600519,202.5,204.5,210.68,201.59,135857.0,2798381824.0,1.91
2015-04-09,600519,204.48,200.0,205.88,199.05,62399.0,1255308032.0,-2.2
2015-04-10,600519,199.99,200.22,202.99,199.61,102019.0,2048914304.0,0.11
2015-04-13,600519,201.55,203.9,204.49,198.94,91356.0,1840018432.0,1.84
2015-04-14,600519,204.0,206.0,209.28,203.96,81903.0,1691094272.0,1.03
2015-04-15,600519,209.1,205.7,209.78,204.16,55005.0,1135635968.0,-0.15
2015-04-16,600519,208.55,226.27,226.27,207.83,86014.0,1877332352.0,10.0
2015-04-17,600519,238.9,232.56,248.7,228.28,192094.0,4577503744.0,2.78
2015-04-20,600519,230.0,234.03,245.7,229.0,130588.0,3118764544.0,0.63
2015-04-21,600519,240.0,257.43,257.43,240.0,122401.0,3039244032.0,10.0
2015-04-22,600519,268.8,263.89,269.0,257.11,134635.0,3543576832.0,2.51
2015-04-23,600519,264.0,256.04,264.17,252.98,86030.0,2214737664.0,-2.97
2015-04-24,600519,251.88,258.49,259.68,245.01,100531.0,2547399936.0,0.96
2015-04-27,600519,257.58,255.79,267.8,252.99,78973.0,2050832384.0,-1.04
2015-04-28,600519,254.0,247.89,258.6,247.05,87291.0,2187970816.0,-3.09
2015-04-29,600519,246.1,249.78,253.0,246.1,59300.0,1477767680.0,0.76
2015-04-30,600519,251.15,252.23,254.9,247.75,64064.0,1610937984.0,0.98
2015-05-04,600519,252.66,254.97,259.0,250.02,54739.0,1398337280.0,1.09
2015-05-05,600519,252.0,240.95,252.0,239.88,73700.0,1801146752.0,-5.5
2015-05-06,600519,243.98,242.68,246.99,240.01,60324.0,1472597504.0,0.72
2015-05-07,600519,245.0,244.93,251.88,242.56,68102.0,1693825920.0,0.93
